Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
8/16/17,Fuel Westborough,FUEL 24:7 AT WESTBOROUGH,43.92,debit,Gas & Fuel,CREDIT CARD,,
8/16/17,Interest,INTEREST PAYMENT,0.01,credit,Interest Income,CHASE SAVINGS,,
8/16/17,iTunes,APL* ITUNES.COM/BILL 866-712-7753 CA,14.99,debit,Entertainment,BankAmericard Travel Rewards Visa Signature,,
8/15/17,Safeway,SAFEWAY STORE 00028787,14.98,debit,Groceries,CREDIT CARD,,
8/15/17,Bancarella Unio,BANCARELLA AT UNIO,9.7,debit,Fast Food,CREDIT CARD,,
8/15/17,Education,DEPT EDUCATION   STUDENT LNPPD ID: 9102001001,228.68,debit,Student Loan,CHASE COLLEGE,,
8/15/17,Fluidigm Cor Osv,Fluidigm Cor-OSV EDI PYMNTSPPD ID: 3263101267,64.14,credit,Income,CHASE COLLEGE,,
8/14/17,Uber.com,UBER US AUG12 Y4MTH HELP.UBER.COMCA,6.57,debit,Rental Car & Taxi,BankAmericard Travel Rewards Visa Signature,,
8/14/17,Trader Joe's,TRADER JOE'S #170  QPS,91.56,debit,Groceries,CREDIT CARD,,
8/14/17,Fedloanservicing Stdnt Loan,FEDLOANSERVICING STDNT LOAN 6M0PFTK7ND1     WEB ID: 9102000802,50,debit,Student Loan,CHASE COLLEGE,,
8/14/17,ATM Withdrawal,ATM WITHDRAWAL000562  08/14101 WESTE,40,debit,Cash & ATM,CHASE COLLEGE,,
8/13/17,Pacific Supermarket,PACIFIC SUPERMARKET,1.59,debit,Groceries,CREDIT CARD,,
8/13/17,Eat24.com,YELPINC*EAT24 LITTLE L,22.35,debit,Food & Dining,CREDIT CARD,,
8/13/17,Pacific Supermarket,PACIFIC SUPERMARKET,15.38,debit,Groceries,CREDIT CARD,,
8/13/17,Shell,SHELL OIL 57444683403,50.2,debit,Gas & Fuel,CREDIT CARD,,
8/13/17,Peet's Coffee,PEETS 14202,1.7,debit,Coffee Shops,CREDIT CARD,,
8/13/17,BART,BART SO. SF STATIONQPS,15.6,debit,Auto & Transport,CREDIT CARD,,
8/11/17,Big Bus Tours,BIG BUS TOURS LTD,90,debit,Travel,CREDIT CARD,,
8/11/17,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,269.71,credit,Credit Card Payment,CREDIT CARD,,
8/11/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
8/11/17,Trader Joe's,TRADER JOE'S #170  QPS,39.31,debit,Groceries,CREDIT CARD,,
8/11/17,Transfer to CREDIT CARD,Payment to Chase card ending in3982,269.71,debit,Credit Card Payment,CHASE COLLEGE,,
8/11/17,Fluidigm Cor Osv,Fluidigm Cor-OSV EDI PYMNTSPPD ID: 3263101267,1887.9,credit,Income,CHASE COLLEGE,,
8/10/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
8/9/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
8/8/17,Fastrak,FASTRAK CSC 415-486-8655 CA,25,debit,Auto & Transport,BankAmericard Travel Rewards Visa Signature,,
8/8/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
8/7/17,Trader Joe's,TRADER JOE'S #170  QPS,109.79,debit,Groceries,CREDIT CARD,,
8/7/17,Chevron,CHEVRON 0094081,46.67,debit,Gas & Fuel,CREDIT CARD,,
8/6/17,Trader Joe's,TRADER JOE'S #107  QPS,8.33,debit,Groceries,CREDIT CARD,,
8/6/17,Safeway,SAFEWAY  STORE00007773,54.36,debit,Groceries,CREDIT CARD,,
8/6/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
8/4/17,ATM Withdrawal,ATM WITHDRAWAL000582  08/042248 WEST,160,debit,Cash & ATM,CHASE COLLEGE,,
8/3/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
8/2/17,Mi,MI PUEBLO,43.22,debit,Uncategorized,CREDIT CARD,,
8/1/17,Bk Amer Online,BK OF AMER MC    ONLINE PMT CKF875671084POS WEB ID: 9500000000,49.98,debit,Credit Card Payment,CHASE COLLEGE,,
7/31/17,Ba Electronic,BA ELECTRONIC PAYMENT,49.98,credit,Credit Card Payment,BankAmericard Travel Rewards Visa Signature,,
7/31/17,Transfer from CHASE COLLEGE,BA ELECTRONIC PAYMENT,49.98,credit,Credit Card Payment,BankAmericard Travel Rewards Visa Signature,,
7/31/17,Safeway,SAFEWAY STORE 00028787,6.09,debit,Groceries,CREDIT CARD,,
7/31/17,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,293.7,credit,Credit Card Payment,CREDIT CARD,,
7/31/17,Transfer to BankAmericard Travel Rewards Visa Signature,BK OF AMER MC    ONLINE PMT CKF875671084POS WEB ID: 9500000000,49.98,debit,Credit Card Payment,CHASE COLLEGE,,
7/31/17,Venmo,VENMO            PAYMENT    610724144       WEB ID: 3264681992,433,debit,Mortgage & Rent,CHASE COLLEGE,,
7/31/17,Transfer to CREDIT CARD,Payment to Chase card ending in3982,293.7,debit,Credit Card Payment,CHASE COLLEGE,,
7/31/17,Fluidigm Cor Osv,Fluidigm Cor-OSV EDI PYMNTSPPD ID: 3263101267,1559.58,credit,Income,CHASE COLLEGE,,
7/31/17,ATM Cash Deposit,ATM CASH DEPOSIT 07/29 2248 WESTBOROUGH BLVD SAN FRANCISCO CA,400,credit,Income,CHASE COLLEGE,,
7/30/17,Dick's Sporting,Dick'sSportingGoods.com,56.21,debit,Sporting Goods,CREDIT CARD,,
7/30/17,Pantry By Byte,PANTRY BY BYTE FOODS,3,debit,Food & Dining,CREDIT CARD,,
7/30/17,Trader Joe's,TRADER JOE'S #170  QPS,118.75,debit,Groceries,CREDIT CARD,,
7/28/17,Pacific Supermarket,PACIFIC SUPERMARKET,35.08,debit,Groceries,CREDIT CARD,,
7/27/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
7/26/17,24 Hour Fitness,"24HOUR FITNESS USA,INC 800-432-6348 CA",49.99,debit,Gym,BankAmericard Travel Rewards Visa Signature,,
7/26/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
7/25/17,Flyers,FLYERS STORE #6119,52.64,debit,Gas & Fuel,CREDIT CARD,,
7/25/17,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,206.96,credit,Credit Card Payment,CREDIT CARD,,
7/25/17,Blue Wing Saloon Cafe,BLUE WING SALOON,27.52,debit,Restaurants,CREDIT CARD,,
7/25/17,Transfer to CREDIT CARD,Payment to Chase card ending in3982,206.96,debit,Credit Card Payment,CHASE COLLEGE,,
7/24/17,Peet's Coffee,PEET'S #08202,7.3,debit,Coffee Shops,CREDIT CARD,,
7/24/17,El Sombrero,EL SOMBRERO,16.24,debit,Restaurants,CREDIT CARD,,
7/24/17,Trader Joe's,TRADER JOE'S #107  QPS,88.13,debit,Groceries,CREDIT CARD,,
7/24/17,ATM Withdrawal,ATM WITHDRAWAL003058  07/22101 WESTE,40,debit,Cash & ATM,CHASE COLLEGE,,
7/23/17,Pak'n Save,PAK N SAVE    00031161,4.98,debit,Groceries,CREDIT CARD,,
7/23/17,Chevron,CHEVRON 0094081,52.12,debit,Gas & Fuel,CREDIT CARD,,
7/23/17,Safeway,SAFEWAY STORE 00024562,12.21,debit,Groceries,CREDIT CARD,,
7/23/17,Starbucks,STARBUCKS STORE 05844,5.9,debit,Coffee Shops,CREDIT CARD,,
7/20/17,iTunes,APL* ITUNES.COM/BILL 866-712-7753 CA,14.99,debit,Entertainment,BankAmericard Travel Rewards Visa Signature,,
7/19/17,Citi Online Web,CITI CARD ONLINE PAYMENT    122385088816184 WEB ID: CITICTP,50.99,debit,Credit Card Payment,CHASE COLLEGE,,
7/19/17,Interest,INTEREST PAYMENT,0.01,credit,Interest Income,CHASE SAVINGS,,
7/18/17,Transfer from CHASE COLLEGE,"ONLINE PAYMENT, THANK YOU",50.99,credit,Credit Card Payment,Costco Anywhere Visa Card by Citi,,
7/18/17,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,477.51,credit,Credit Card Payment,CREDIT CARD,,
7/18/17,Pak'n Save,PAK N SAVE    00031161,20.08,debit,Groceries,CREDIT CARD,,
7/18/17,Transfer to CREDIT CARD,Payment to Chase card ending in3982,477.51,debit,Credit Card Payment,CHASE COLLEGE,,
7/18/17,Online Transfer Mo,Online Transfer 6375387617 to Mom #####7213 transaction #: 63753,400,debit,Transfer,CHASE COLLEGE,,
7/17/17,Safeway,SAFEWAY STORE 00028787,30.42,debit,Groceries,CREDIT CARD,,
7/16/17,Trader Joe's,TRADER JOE'S #170  QPS,127.83,debit,Groceries,CREDIT CARD,,
7/16/17,Tokyo Sushi,TOKYO SUSHI & BAR,78.08,debit,Restaurants,CREDIT CARD,,
7/16/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
7/16/17,Econo Gas,ECONO GAS,46.93,debit,Gas & Fuel,CREDIT CARD,,
7/16/17,Amazon,Amazon.com,37.41,credit,Shopping,CREDIT CARD,,
7/14/17,Amazon,Amazon.com,37.41,debit,Shopping,CREDIT CARD,,
7/14/17,Fluidigm Cor Osv,Fluidigm Cor-OSV EDI PYMNTSPPD ID: 3263101267,1559.58,credit,Income,CHASE COLLEGE,,
7/13/17,Education,DEPT EDUCATION   STUDENT LNPPD ID: 9102001001,228.68,debit,Student Loan,CHASE COLLEGE,,
7/13/17,Playstation Network,PLAYSTATION NETWORK 800-345-7669 CA,49.99,debit,Entertainment,Costco Anywhere Visa Card by Citi,,
7/12/17,Walgreens,WALGREENS #15397,6.87,debit,Pharmacy,CREDIT CARD,,
7/11/17,Fedloanservicing Stdnt Loan,FEDLOANSERVICING STDNT LOAN 6LUR1SOHK91     WEB ID: 9102000802,50,debit,Student Loan,CHASE COLLEGE,,
7/11/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
7/10/17,Fastrak,FASTRAK CSC 415-486-8655 CA,25,debit,Auto & Transport,BankAmericard Travel Rewards Visa Signature,,
7/10/17,Safeway,SAFEWAY STORE 00028787,12.49,debit,Groceries,CREDIT CARD,,
7/10/17,Venmo,VENMO            PAYMENT    584564641       WEB ID: 3264681992,895,debit,Mortgage & Rent,CHASE COLLEGE,,
7/10/17,Chase Ending In,Payment to Chase card ending in3982,229.08,debit,Credit Card Payment,CHASE COLLEGE,,
7/9/17,Sol Food,SOL FOOD - LINCOLN AVE,27.15,debit,Restaurants,CREDIT CARD,,
7/9/17,Thank You Web,Payment Thank You - Web,229.08,credit,Credit Card Payment,CREDIT CARD,,
7/9/17,Peet's Coffee,PEET'S #21402,7.85,debit,Coffee Shops,CREDIT CARD,,
7/9/17,Trader Joe's,TRADER JOE'S #170  QPS,96.75,debit,Groceries,CREDIT CARD,,
7/9/17,Fuel Westborough,FUEL 24:7 AT WESTBOROUGH,42.64,debit,Gas & Fuel,CREDIT CARD,,
7/7/17,City Ips,CITY OF SAN RAFAEL IPS,1.5,debit,Parking,CREDIT CARD,,
7/7/17,Trader Joe's,TRADER JOE'S #107  QPS,14.34,debit,Groceries,CREDIT CARD,,
7/7/17,Lombardis,LOMBARDI`S BBQ,21.44,debit,Restaurants,CREDIT CARD,,
7/6/17,Safeway,SAFEWAY STORE 00024562,10.91,debit,Groceries,CREDIT CARD,,
7/6/17,Aqus Cafe,AQUS CAFE,8.58,debit,Restaurants,CREDIT CARD,,
7/6/17,Whole Foods,WHOLEFDS CDD 10370,6.5,debit,Groceries,CREDIT CARD,,
7/6/17,State Parks,SUGARLOAF STATE PARK,8,debit,Amusement,CREDIT CARD,,
7/6/17,Safeway,SAFEWAY STORE 00030114,39.34,debit,Groceries,CREDIT CARD,,
7/5/17,Chevron,CHEVRON 0094081,43.45,debit,Gas & Fuel,CREDIT CARD,,
7/4/17,Spud,SPUD POINT CRAB COMPANY,18.58,debit,Food & Dining,CREDIT CARD,,
7/4/17,Amazon,Amazon.com,32.43,debit,Shopping,CREDIT CARD,,
7/3/17,Citi Online Web,CITI CARD ONLINE PAYMENT    112369662036765 WEB ID: CITICTP,39.97,debit,Credit Card Payment,CHASE COLLEGE,,
7/3/17,Bk Amer Online,BK OF AMER MC    ONLINE PMT CKF875671084POS WEB ID: 9500000000,49.99,debit,Credit Card Payment,CHASE COLLEGE,,
7/3/17,Bk Amer Online,BK OF AMER MC    ONLINE PMT CKF875671084POS WEB ID: 9500000000,49.99,debit,Credit Card Payment,CHASE COLLEGE,,
7/3/17,Online Transfer Mo,Online Transfer 6339998030 to Mom #####7213 transaction #: 63399,185,debit,Transfer,CHASE COLLEGE,,
7/3/17,ATM Withdrawal,ATM WITHDRAWAL004673  07/01101 WESTE,40,debit,Cash & ATM,CHASE COLLEGE,,
7/2/17,El Roy Mexican,EL ROY'S MEXICAN GRILL,18.9,debit,Restaurants,CREDIT CARD,,
7/1/17,Patreon Ca,PAYPAL *PATREON 402-935-7733 CA,1,debit,Entertainment,Costco Anywhere Visa Card by Citi,,
7/1/17,Nintendo Digital,NINTENDO DIGITAL 800-255-3700 WA,9.99,debit,Entertainment,BankAmericard Travel Rewards Visa Signature,,
7/1/17,Ba Electronic,BA ELECTRONIC PAYMENT,49.99,credit,Credit Card Payment,BankAmericard Travel Rewards Visa Signature,,
6/30/17,Trader Joe's,TRADER JOE'S #170  QPS,5.11,debit,Groceries,CREDIT CARD,,
6/30/17,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,541.36,credit,Credit Card Payment,CREDIT CARD,,
6/30/17,Fluidigm Cor Osv,Fluidigm Cor-OSV EDI PYMNTSPPD ID: 3263101267,1559.58,credit,Income,CHASE COLLEGE,,
6/30/17,Transfer to CREDIT CARD,Payment to Chase card ending in3982,541.36,debit,Credit Card Payment,CHASE COLLEGE,,
6/30/17,Ba Electronic,BA ELECTRONIC PAYMENT,49.99,credit,Credit Card Payment,BankAmericard Travel Rewards Visa Signature,,
6/30/17,Online Thank You,"ONLINE PAYMENT, THANK YOU",39.97,credit,Credit Card Payment,Costco Anywhere Visa Card by Citi,,
6/29/17,Flyers,FLYERS  219 *,55.32,debit,Gas & Fuel,CREDIT CARD,,
6/27/17,Safeway,SAFEWAY STORE 00028787,13.69,debit,Groceries,CREDIT CARD,,
6/26/17,ATM Withdrawal,ATM WITHDRAWAL006226  06/251730 S EL,100,debit,Cash & ATM,CHASE COLLEGE,,
6/26/17,Bk Amer Online,BK OF AMER MC    ONLINE PMT CKF875671084POS WEB ID: 9500000000,88,debit,Credit Card Payment,CHASE COLLEGE,,
6/26/17,24 Hour Fitness,"24HOUR FITNESS USA,INC 800-432-6348 CA",49.99,debit,Gym,BankAmericard Travel Rewards Visa Signature,,
6/26/17,Trader Joe's,TRADER JOE'S #170  QPS,71.83,debit,Groceries,CREDIT CARD,,
6/25/17,Trader Joe's,TRADER JOE'S #170  QPS,69.24,debit,Groceries,CREDIT CARD,,
6/25/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/24/17,Playstation Network,PLAYSTATION NETWORK 800-345-7669 CA,39.97,debit,Entertainment,Costco Anywhere Visa Card by Citi,,
6/23/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/23/17,Trader Joe's,TRADER JOE'S #170  QPS,36.37,debit,Groceries,CREDIT CARD,,
6/23/17,Ba Electronic,BA ELECTRONIC PAYMENT,88,credit,Credit Card Payment,BankAmericard Travel Rewards Visa Signature,,
6/22/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/21/17,KWIK Serv,KWIK SERV WESTBOROUGH,49.93,debit,Groceries,CREDIT CARD,,
6/21/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/20/17,Srjc Registration,SRJC REGISTRATION SANTA ROSA CA,88,debit,Tuition,BankAmericard Travel Rewards Visa Signature,,
6/20/17,Starbucks,STARBUCKS STORE 05844,7.4,debit,Coffee Shops,CREDIT CARD,,
6/20/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/19/17,Safeway,SAFEWAY STORE 00028787,12.59,debit,Groceries,CREDIT CARD,,
6/19/17,Starbucks,STARBUCKS STORE 00557,6.5,debit,Coffee Shops,CREDIT CARD,,
6/19/17,El Palenque Taqueria,EL PALENQUE TAQUERIA,18.13,debit,Restaurants,CREDIT CARD,,
6/19/17,ATM Withdrawal,ATM WITHDRAWAL009488  06/17101 WESTE,40,debit,Cash & ATM,CHASE COLLEGE,,
6/18/17,Trader Joe's,TRADER JOE'S #170  QPS,116.35,debit,Groceries,CREDIT CARD,,
6/18/17,Lucchesi Deli,LUCCHESI DELI INC,11.14,debit,Restaurants,CREDIT CARD,,
6/18/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/18/17,Trader Joe's,TRADER JOE'S #170  QPS,10.28,debit,Groceries,CREDIT CARD,,
6/16/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/16/17,Interest,INTEREST PAYMENT,0.01,credit,Interest Income,CHASE SAVINGS,,
6/15/17,Trader Joe's,TRADER JOE'S #187  QPS,1.99,debit,Groceries,CREDIT CARD,,
6/15/17,Walgreens,WALGREENS #15397,6.54,debit,Pharmacy,CREDIT CARD,,
6/15/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/15/17,KWIK Serv,KWIK SERV WESTBOROUGH,52.06,debit,Groceries,CREDIT CARD,,
6/15/17,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,135.63,credit,Credit Card Payment,CREDIT CARD,,
6/15/17,Fluidigm Cor Osv,Fluidigm Cor-OSV EDI PYMNTSPPD ID: 3263101267,1559.58,credit,Income,CHASE COLLEGE,,
6/15/17,Transfer to CREDIT CARD,Payment to Chase card ending in3982,135.63,debit,Credit Card Payment,CHASE COLLEGE,,
6/14/17,Chipotle,CHIPOTLE 2746,10.51,debit,Fast Food,CREDIT CARD,,
6/14/17,Transfer from CHASE SAVINGS,Online Transfer from SAV ...5920transaction#: 6295720372,200,credit,Transfer,CHASE COLLEGE,,
6/14/17,Transfer to CHASE COLLEGE,Online Transfer to CHK ...7150 transaction#: 6295720372,200,debit,Transfer,CHASE SAVINGS,,
6/13/17,Dept Education Student,DEPT EDUCATION   STUDENT LNPPD ID: 9102001001,228.68,debit,Student Loan,CHASE COLLEGE,,
6/13/17,Venmo,VENMO            PAYMENT    554777990       WEB ID: 3264681992,20,debit,Mortgage & Rent,CHASE COLLEGE,,
6/12/17,Pantry By Byte,PANTRY BY BYTE FOODS,3,debit,Food & Dining,CREDIT CARD,,
6/12/17,Bk Amer Online,BK OF AMER MC    ONLINE PMT CKF875671084POS WEB ID: 9500000000,64.98,debit,Credit Card Payment,CHASE COLLEGE,,
6/11/17,Safeway,SAFEWAY STORE 00024562,45.9,debit,Groceries,CREDIT CARD,,
6/11/17,Peet's Coffee,PEETS 14202,9.4,debit,Coffee Shops,CREDIT CARD,,
6/11/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/11/17,McDonald's,MCDONALD'S F2303,10.05,debit,Fast Food,CREDIT CARD,,
6/9/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/9/17,Citi Online Web,CITI CARD ONLINE PAYMENT    132350609880210 WEB ID: CITICTP,1,debit,Credit Card Payment,CHASE COLLEGE,,
6/9/17,Ba Electronic,BA ELECTRONIC PAYMENT,64.98,credit,Credit Card Payment,BankAmericard Travel Rewards Visa Signature,,
6/8/17,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,232.76,credit,Credit Card Payment,CREDIT CARD,,
6/8/17,Flyers,FLYERS  219 *,56.02,debit,Gas & Fuel,CREDIT CARD,,
6/8/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/8/17,Transfer to CREDIT CARD,Payment to Chase card ending in3982,232.76,debit,Credit Card Payment,CHASE COLLEGE,,
6/8/17,Online Thank You,"ONLINE PAYMENT, THANK YOU",1,credit,Credit Card Payment,Costco Anywhere Visa Card by Citi,,
6/7/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/7/17,Pantry By Byte,PANTRY BY BYTE FOODS,3,debit,Food & Dining,CREDIT CARD,,
6/6/17,ACS Education Services,ACS Express Pay  ECHECK PAY 703206085813770 WEB ID: 9525011122,90,debit,Student Loan,CHASE COLLEGE,,
6/6/17,Fedloanservicing Stdnt Loan,FEDLOANSERVICING STDNT LOAN 6LSNQFVLK71     WEB ID: 9102000802,50,debit,Student Loan,CHASE COLLEGE,,
6/6/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/6/17,Peet's Coffee,PEETS 15902,7.4,debit,Coffee Shops,CREDIT CARD,,
6/5/17,ATM Fee,NON-CHASE ATM WITHDRAW880562  06/0415045 RIV,2,debit,ATM Fee,CHASE COLLEGE,,
6/5/17,ATM Withdrawal,NON-CHASE ATM WITHDRAW880562  06/0415045 RIV,40,debit,Cash & ATM,CHASE COLLEGE,,
6/5/17,Boulevard Cinemas,BOULEVARD CINEMAS,7.75,debit,Movies & DVDs,CREDIT CARD,,
6/5/17,Trader Joe's,TRADER JOE'S #107  QPS,89.87,debit,Groceries,CREDIT CARD,,
6/5/17,Mi Pueblo,MI PUEBLO,11.55,debit,Food & Dining,CREDIT CARD,,
6/5/17,Dick's Sporting,DICKS SPORTING GOODS1048,27.02,debit,Sporting Goods,CREDIT CARD,,
6/5/17,ATM Withdrawal,ATM WITHDRAWAL004208  06/03101 WESTE,40,debit,Cash & ATM,CHASE COLLEGE,,
6/5/17,ATM Fee,NON-CHASE ATM FEE-WITH,2.5,debit,ATM Fee,CHASE COLLEGE,,
6/4/17,Acre Coffee,SQ *ACRE COFFEE,4.5,debit,Coffee Shops,CREDIT CARD,,
6/4/17,Canteen Vending Machine,CMSVEND*CV BAY AREA VEND,0.25,debit,Food & Dining,CREDIT CARD,,
6/4/17,Fuel Westborough,FUEL 24:7 AT WESTBOROUGH,50.29,debit,Gas & Fuel,CREDIT CARD,,
6/3/17,Nintendo Digital,NINTENDO DIGITAL 800-255-3700 WA,39.98,debit,Entertainment,BankAmericard Travel Rewards Visa Signature,,
6/2/17,Venmo,VENMO            PAYMENT    541008909       WEB ID: 3264681992,301,debit,Mortgage & Rent,CHASE COLLEGE,,
6/1/17,Pacific Supermarket,PACIFIC SUPERMARKET SO,9.58,debit,Groceries,CREDIT CARD,,
6/1/17,Taqueria San Bruno,TAQUERIA SAN BRUNO,17.35,debit,Restaurants,CREDIT CARD,,
6/1/17,Online Transfer Mo,Online Transfer 6263898498 to Mom #####7213 transaction #: 62638,100,debit,Transfer,CHASE COLLEGE,,
6/1/17,Venmo,VENMO            PAYMENT    540514045       WEB ID: 3264681992,24,debit,Mortgage & Rent,CHASE COLLEGE,,
6/1/17,Patreon Ca,PAYPAL *PATREON 402-935-7733 CA,1,debit,Entertainment,Costco Anywhere Visa Card by Citi,,
5/31/17,Transfer from CHASE COLLEGE,Payment Thank You-Mobile,751.92,credit,Credit Card Payment,CREDIT CARD,,
5/31/17,Peet's Coffee,PEET'S #08102,3.7,debit,Coffee Shops,CREDIT CARD,,
5/31/17,Fluidigm Cor Osv,Fluidigm Cor-OSV EDI PYMNTSPPD ID: 3263101267,1559.57,credit,Income,CHASE COLLEGE,,
5/31/17,Transfer to CREDIT CARD,Payment to Chase card ending in3982,751.92,debit,Credit Card Payment,CHASE COLLEGE,,
5/31/17,Transfer to CHASE SAVINGS,Online Transfer to SAV ...5920 transaction#: 6260601527,1000,debit,Transfer,CHASE COLLEGE,,
5/31/17,Bk Amer Online,BK OF AMER MC    ONLINE PMT CKF875671084POS WEB ID: 9500000000,49.99,debit,Credit Card Payment,CHASE COLLEGE,,
5/31/17,Transfer from CHASE COLLEGE,Online Transfer from CHK ...7150transaction#: 6260601527,1000,credit,Transfer,CHASE SAVINGS,,
5/31/17,Fastrak,FASTRAK CSC 415-486-8655 CA,25,debit,Auto & Transport,BankAmericard Travel Rewards Visa Signature,,
5/30/17,Ba Electronic,BA ELECTRONIC PAYMENT,49.99,credit,Credit Card Payment,BankAmericard Travel Rewards Visa Signature,,
5/30/17,Trader Joe's,TRADER JOE'S #170  QPS,101.89,debit,Groceries,CREDIT CARD,,
5/30/17,ATM Withdrawal,ATM WITHDRAWAL001455  05/27101 WESTE,40,debit,Cash & ATM,CHASE COLLEGE,,
5/29/17,Rotten Robbie,ROTTEN ROBBIE #65,51.35,debit,Gas & Fuel,CREDIT CARD,,
5/29/17,Safeway,SAFEWAY  STORE00009837,23.35,debit,Groceries,CREDIT CARD,,
5/28/17,El Roy Mexican,EL ROY'S MEXICAN GRILL,12.92,debit,Restaurants,CREDIT CARD,,
